epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,78458.7,1.34917,3.04492,1.32049,0.60443,0.50264,0.53381,0.33209,1.2999,2.92636,1.28673,0.007921,0.007921,0.007921
44,80293.5,1.34178,3.05174,1.31872,0.60913,0.50116,0.5341,0.33308,1.29739,2.9173,1.28421,0.0078715,0.0078715,0.0078715
45,82086.1,1.34562,3.03672,1.32349,0.61584,0.50956,0.54076,0.33709,1.2982,2.8944,1.28489,0.007822,0.007822,0.007822
46,83865.3,1.34838,3.02227,1.31751,0.61024,0.49826,0.53595,0.33456,1.29384,2.91022,1.2812,0.0077725,0.0077725,0.0077725
47,85686.1,1.33553,3.00389,1.30917,0.6227,0.50302,0.53965,0.33619,1.2911,2.88909,1.27972,0.007723,0.007723,0.007723
48,87524.6,1.3343,2.97788,1.31484,0.60796,0.50773,0.53787,0.33535,1.28686,2.88913,1.27777,0.0076735,0.0076735,0.0076735
49,89350.5,1.3288,2.95326,1.3077,0.60945,0.51793,0.54665,0.34156,1.28589,2.86568,1.27832,0.007624,0.007624,0.007624
50,91165.5,1.32758,2.94776,1.31144,0.61237,0.51952,0.54825,0.34354,1.28371,2.83638,1.27498,0.0075745,0.0075745,0.0075745
51,93016.4,1.33139,2.94974,1.30766,0.61307,0.51957,0.54731,0.3424,1.28615,2.8587,1.27692,0.007525,0.007525,0.007525
52,94855.6,1.32496,2.94947,1.30569,0.61441,0.52128,0.55002,0.34412,1.28355,2.83527,1.27675,0.0074755,0.0074755,0.0074755
53,96663,1.32478,2.92191,1.30261,0.60986,0.5226,0.54933,0.34336,1.28134,2.82811,1.27328,0.007426,0.007426,0.007426
54,98465.7,1.31679,2.91795,1.29777,0.62689,0.51634,0.54901,0.34534,1.27624,2.81991,1.27021,0.0073765,0.0073765,0.0073765
55,100263,1.3153,2.87529,1.29878,0.6281,0.51507,0.55148,0.34583,1.27661,2.82079,1.26974,0.007327,0.007327,0.007327
56,102064,1.30915,2.86344,1.297,0.62407,0.52092,0.55696,0.35037,1.27078,2.79766,1.26686,0.0072775,0.0072775,0.0072775
57,103868,1.31239,2.84125,1.30029,0.62984,0.52104,0.5574,0.35018,1.26981,2.78584,1.26637,0.007228,0.007228,0.007228
58,105715,1.31416,2.85302,1.29556,0.62735,0.52529,0.55946,0.35181,1.27017,2.78318,1.2678,0.0071785,0.0071785,0.0071785
59,107770,1.30732,2.82772,1.29442,0.62878,0.52541,0.55978,0.35167,1.26934,2.78087,1.2638,0.007129,0.007129,0.007129
60,109841,1.30445,2.80057,1.29358,0.63447,0.52137,0.56294,0.35346,1.26722,2.75703,1.26406,0.0070795,0.0070795,0.0070795
61,111989,1.30264,2.79975,1.2878,0.62963,0.52211,0.56292,0.35422,1.26817,2.75698,1.26409,0.00703,0.00703,0.00703
62,114153,1.29849,2.77477,1.28798,0.62238,0.53334,0.56448,0.35602,1.2696,2.77112,1.26406,0.0069805,0.0069805,0.0069805
63,116316,1.30279,2.7893,1.28876,0.62999,0.53229,0.56436,0.35629,1.26877,2.76453,1.26168,0.006931,0.006931,0.006931
64,118463,1.29666,2.76493,1.2884,0.62428,0.5322,0.5652,0.35785,1.26331,2.7514,1.25974,0.0068815,0.0068815,0.0068815
65,120569,1.29949,2.77487,1.28819,0.62969,0.53501,0.56899,0.35869,1.26247,2.74662,1.25908,0.006832,0.006832,0.006832
66,122642,1.30093,2.76382,1.28794,0.63466,0.53858,0.56999,0.35952,1.26069,2.72743,1.25816,0.0067825,0.0067825,0.0067825
67,124688,1.29246,2.74849,1.28052,0.62736,0.53604,0.57107,0.35981,1.2596,2.7268,1.25674,0.006733,0.006733,0.006733
68,126725,1.29301,2.73142,1.27909,0.6279,0.53196,0.56783,0.35911,1.25822,2.72562,1.25656,0.0066835,0.0066835,0.0066835
69,128720,1.29323,2.74242,1.28192,0.6418,0.53236,0.57219,0.36212,1.25955,2.71731,1.25823,0.006634,0.006634,0.006634
70,130718,1.29291,2.72602,1.28289,0.62603,0.54072,0.57073,0.36162,1.25898,2.72215,1.25693,0.0065845,0.0065845,0.0065845
71,132725,1.28922,2.71338,1.27894,0.63826,0.53974,0.57371,0.3638,1.25496,2.70931,1.25414,0.006535,0.006535,0.006535
72,134740,1.27991,2.68949,1.27731,0.63562,0.54283,0.57509,0.36451,1.25624,2.70778,1.2557,0.0064855,0.0064855,0.0064855
73,136761,1.28369,2.68767,1.27656,0.64283,0.53851,0.575,0.36423,1.25304,2.69856,1.25402,0.006436,0.006436,0.006436
74,138760,1.28787,2.67707,1.28035,0.6397,0.54565,0.57664,0.36456,1.25202,2.68936,1.25223,0.0063865,0.0063865,0.0063865
75,140750,1.28431,2.69264,1.27672,0.63641,0.54431,0.57709,0.36406,1.2532,2.68852,1.25344,0.006337,0.006337,0.006337
76,142747,1.28153,2.65414,1.28045,0.63722,0.54384,0.57616,0.36493,1.25209,2.68284,1.2529,0.0062875,0.0062875,0.0062875
77,144741,1.28422,2.70964,1.27608,0.63802,0.54729,0.57813,0.36614,1.24989,2.68179,1.25094,0.006238,0.006238,0.006238
78,146732,1.2732,2.62381,1.27338,0.6371,0.54599,0.58006,0.36791,1.24902,2.67748,1.24889,0.0061885,0.0061885,0.0061885
79,148719,1.27358,2.61645,1.26688,0.65032,0.54124,0.58209,0.36965,1.24951,2.66521,1.24895,0.006139,0.006139,0.006139
80,150724,1.27258,2.62449,1.26802,0.65691,0.5421,0.58362,0.37124,1.24756,2.66313,1.24803,0.0060895,0.0060895,0.0060895
81,152713,1.26916,2.61412,1.27046,0.64431,0.55087,0.58437,0.37104,1.24878,2.66689,1.24805,0.00604,0.00604,0.00604
82,154661,1.26382,2.59361,1.26308,0.64596,0.5518,0.5842,0.37112,1.24657,2.66063,1.24687,0.0059905,0.0059905,0.0059905
83,156520,1.26658,2.59398,1.26612,0.6515,0.54431,0.58514,0.37194,1.24578,2.65336,1.24641,0.005941,0.005941,0.005941
84,158385,1.26807,2.59395,1.26551,0.6534,0.54713,0.58663,0.37324,1.24385,2.64745,1.24486,0.0058915,0.0058915,0.0058915
85,160251,1.26568,2.58733,1.26216,0.64887,0.55286,0.58699,0.37311,1.2449,2.64754,1.2451,0.005842,0.005842,0.005842
86,162101,1.26386,2.57791,1.26033,0.64982,0.55167,0.58682,0.37395,1.24562,2.64525,1.24513,0.0057925,0.0057925,0.0057925
87,163954,1.26312,2.56751,1.25861,0.65787,0.54942,0.58828,0.37499,1.2445,2.6339,1.24369,0.005743,0.005743,0.005743
88,165806,1.26223,2.56071,1.26053,0.65159,0.55278,0.58795,0.37434,1.24436,2.63586,1.24543,0.0056935,0.0056935,0.0056935
89,167667,1.26363,2.5548,1.25992,0.65518,0.55105,0.5883,0.37469,1.24522,2.63547,1.24528,0.005644,0.005644,0.005644
90,169544,1.25729,2.52847,1.25811,0.66315,0.54856,0.59108,0.37632,1.24431,2.63844,1.24511,0.0055945,0.0055945,0.0055945
91,171438,1.25517,2.51866,1.25901,0.66431,0.54956,0.59188,0.37688,1.24317,2.62981,1.24459,0.005545,0.005545,0.005545
92,173348,1.2548,2.53043,1.25671,0.65785,0.55236,0.59312,0.37745,1.2424,2.62304,1.2438,0.0054955,0.0054955,0.0054955
93,175270,1.25626,2.51001,1.26039,0.66154,0.554,0.59169,0.37625,1.24216,2.6199,1.24346,0.005446,0.005446,0.005446
94,177209,1.24995,2.52065,1.25537,0.65712,0.55969,0.59412,0.37719,1.24347,2.61938,1.24443,0.0053965,0.0053965,0.0053965
95,179168,1.24991,2.48273,1.26399,0.65689,0.55941,0.59322,0.37693,1.24314,2.61906,1.24444,0.005347,0.005347,0.005347
96,181098,1.2569,2.49306,1.26012,0.65921,0.5565,0.59361,0.37777,1.24206,2.61194,1.24478,0.0052975,0.0052975,0.0052975
97,183036,1.25025,2.4767,1.25426,0.65809,0.55827,0.59317,0.37706,1.24113,2.6052,1.24363,0.005248,0.005248,0.005248
98,184987,1.24745,2.46173,1.25129,0.65702,0.55726,0.59411,0.37794,1.23948,2.60104,1.24239,0.0051985,0.0051985,0.0051985
99,186927,1.24962,2.46234,1.25177,0.65253,0.55682,0.59363,0.37757,1.23955,2.60219,1.24168,0.005149,0.005149,0.005149
100,188876,1.2427,2.45886,1.25205,0.6476,0.56107,0.59368,0.37785,1.239,2.60604,1.24112,0.0050995,0.0050995,0.0050995
101,190805,1.24421,2.45763,1.2505,0.64501,0.56119,0.59343,0.37803,1.23842,2.60585,1.24044,0.00505,0.00505,0.00505
102,192742,1.24144,2.43576,1.24821,0.65123,0.55636,0.59348,0.37818,1.23932,2.60283,1.24085,0.0050005,0.0050005,0.0050005
103,194703,1.24275,2.42575,1.25127,0.6535,0.5586,0.59357,0.37802,1.23889,2.60397,1.23961,0.004951,0.004951,0.004951
104,196646,1.23957,2.40907,1.243,0.65364,0.55906,0.59374,0.37824,1.23894,2.60504,1.23951,0.0049015,0.0049015,0.0049015
105,198591,1.23744,2.41395,1.24584,0.64706,0.56093,0.59371,0.37816,1.23812,2.60385,1.23927,0.004852,0.004852,0.004852
106,200520,1.23808,2.41166,1.24757,0.64303,0.56477,0.59397,0.37844,1.23806,2.60216,1.23912,0.0048025,0.0048025,0.0048025
