epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,29982.2,1.23214,2.58009,1.31011,0.8618,0.79035,0.8512,0.60588,1.13953,2.02776,1.252,0.007921,0.007921,0.007921
44,30679.4,1.23047,2.5559,1.30701,0.85981,0.79099,0.85214,0.60658,1.13824,2.02203,1.25052,0.0078715,0.0078715,0.0078715
45,31378.8,1.22658,2.55104,1.30541,0.8664,0.79391,0.85436,0.60752,1.13555,2.01462,1.24932,0.007822,0.007822,0.007822
46,32067.6,1.21725,2.54341,1.30316,0.87242,0.79087,0.85516,0.60986,1.135,2.00583,1.24899,0.0077725,0.0077725,0.0077725
47,32765.5,1.22244,2.54671,1.30417,0.86781,0.79445,0.85538,0.61028,1.13409,1.99876,1.24794,0.007723,0.007723,0.007723
48,33464.1,1.21253,2.51526,1.29744,0.87152,0.78908,0.85685,0.61108,1.13282,1.99276,1.24679,0.0076735,0.0076735,0.0076735
49,34161.5,1.21216,2.51565,1.29442,0.86814,0.79363,0.85744,0.61216,1.13083,1.98748,1.24479,0.007624,0.007624,0.007624
50,34852.9,1.21613,2.48981,1.29194,0.86802,0.7932,0.85738,0.6127,1.13015,1.9864,1.2436,0.0075745,0.0075745,0.0075745
51,35555.8,1.21356,2.46349,1.2854,0.86675,0.79209,0.85824,0.61424,1.12905,1.98168,1.24219,0.007525,0.007525,0.007525
52,36256.7,1.20809,2.47361,1.28664,0.86564,0.79308,0.85849,0.61519,1.12713,1.9778,1.24044,0.0074755,0.0074755,0.0074755
53,36945,1.21326,2.46264,1.28484,0.86545,0.79474,0.85868,0.6156,1.12628,1.97307,1.23937,0.007426,0.007426,0.007426
54,37636.4,1.20263,2.45496,1.28311,0.8643,0.79442,0.85919,0.6167,1.12524,1.96791,1.23856,0.0073765,0.0073765,0.0073765
55,38324.7,1.19358,2.42986,1.28095,0.86571,0.79732,0.85962,0.61777,1.12387,1.96348,1.23736,0.007327,0.007327,0.007327
56,39006.9,1.19684,2.41363,1.28073,0.8641,0.80134,0.86116,0.61869,1.12309,1.96141,1.2368,0.0072775,0.0072775,0.0072775
57,39701.4,1.19672,2.42082,1.28189,0.86327,0.79981,0.86131,0.61878,1.12158,1.95741,1.23611,0.007228,0.007228,0.007228
58,40397.6,1.19993,2.42991,1.28343,0.86729,0.79792,0.86123,0.61931,1.12081,1.95437,1.2358,0.0071785,0.0071785,0.0071785
59,41090.5,1.18781,2.40418,1.27475,0.86438,0.80174,0.86117,0.62018,1.11958,1.95085,1.23498,0.007129,0.007129,0.007129
60,41789.2,1.19826,2.39123,1.27543,0.86472,0.80252,0.86254,0.62083,1.11898,1.94891,1.23458,0.0070795,0.0070795,0.0070795
61,42496.9,1.18683,2.39044,1.27168,0.86753,0.79989,0.86275,0.62154,1.11828,1.94687,1.23388,0.00703,0.00703,0.00703
62,43195,1.18567,2.37833,1.27737,0.86945,0.79725,0.86301,0.62213,1.1177,1.94438,1.23339,0.0069805,0.0069805,0.0069805
63,43901.8,1.19157,2.36862,1.27335,0.86573,0.80313,0.8637,0.62274,1.11739,1.9418,1.23293,0.006931,0.006931,0.006931
