epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,10910.6,1.55408,3.58154,1.18,0.45708,0.35947,0.36467,0.21144,1.47343,3.40318,1.15202,0.007921,0.007921,0.007921
44,11170.2,1.55973,3.5902,1.17988,0.47225,0.35746,0.3668,0.21444,1.46836,3.39143,1.14876,0.0078715,0.0078715,0.0078715
45,11430.3,1.55284,3.56387,1.17851,0.46694,0.36024,0.36905,0.21547,1.46345,3.36628,1.1476,0.007822,0.007822,0.007822
46,11690.6,1.54525,3.52882,1.17346,0.47773,0.35608,0.37044,0.21589,1.46255,3.3544,1.1471,0.0077725,0.0077725,0.0077725
47,11951.8,1.54042,3.52305,1.17083,0.47346,0.3575,0.36858,0.21487,1.45844,3.36568,1.14385,0.007723,0.007723,0.007723
48,12212.2,1.53955,3.51547,1.17051,0.47349,0.36017,0.37061,0.21663,1.45718,3.3564,1.14146,0.0076735,0.0076735,0.0076735
49,12472.4,1.52925,3.48198,1.16309,0.47924,0.36536,0.37581,0.21988,1.45226,3.33212,1.13887,0.007624,0.007624,0.007624
50,12725.5,1.53272,3.4897,1.16629,0.49273,0.36421,0.38038,0.22248,1.44984,3.31662,1.13897,0.0075745,0.0075745,0.0075745
51,12981.1,1.52497,3.46488,1.16241,0.48244,0.37048,0.37895,0.22272,1.44709,3.30342,1.13802,0.007525,0.007525,0.007525
52,13237.6,1.52762,3.45379,1.16032,0.49065,0.36595,0.37934,0.22275,1.44734,3.30806,1.13559,0.0074755,0.0074755,0.0074755
53,13496.5,1.52136,3.4329,1.15884,0.47752,0.3679,0.3794,0.22328,1.44221,3.29736,1.13522,0.007426,0.007426,0.007426
54,13754.5,1.52067,3.42575,1.15793,0.48133,0.37333,0.38218,0.22488,1.44606,3.29416,1.13475,0.0073765,0.0073765,0.0073765
55,14015.9,1.51798,3.425,1.15769,0.49097,0.37466,0.37886,0.22296,1.43973,3.27978,1.13395,0.007327,0.007327,0.007327
56,14277.1,1.51734,3.41551,1.15787,0.48961,0.37067,0.3845,0.22791,1.43749,3.27647,1.13312,0.0072775,0.0072775,0.0072775
57,14532.9,1.51252,3.39676,1.15429,0.49064,0.37206,0.38364,0.22597,1.43832,3.28039,1.13145,0.007228,0.007228,0.007228
58,14788.8,1.5194,3.40385,1.15538,0.48853,0.37256,0.38602,0.22716,1.43627,3.2558,1.13072,0.0071785,0.0071785,0.0071785
59,15048,1.51602,3.37376,1.15305,0.4883,0.37735,0.38654,0.22719,1.43288,3.25014,1.1275,0.007129,0.007129,0.007129
60,15308.5,1.50495,3.3664,1.15187,0.49462,0.37705,0.39063,0.23,1.43105,3.24454,1.1275,0.0070795,0.0070795,0.0070795
61,15566.7,1.50576,3.35851,1.14944,0.49512,0.37905,0.3885,0.22901,1.42854,3.24125,1.12703,0.00703,0.00703,0.00703
62,15826.6,1.49559,3.34446,1.14971,0.48714,0.38145,0.3919,0.23083,1.42766,3.23212,1.12586,0.0069805,0.0069805,0.0069805
63,16088.2,1.50091,3.3421,1.15439,0.49741,0.38244,0.3949,0.23192,1.42624,3.22811,1.12518,0.006931,0.006931,0.006931
64,16347.9,1.496,3.32495,1.14729,0.49198,0.38417,0.39462,0.2337,1.42542,3.22293,1.1251,0.0068815,0.0068815,0.0068815
65,16607.9,1.49768,3.32381,1.14577,0.50041,0.38323,0.3957,0.23364,1.42344,3.22453,1.12422,0.006832,0.006832,0.006832
66,16869,1.49124,3.30414,1.14463,0.4948,0.3843,0.39763,0.23522,1.42099,3.20827,1.12243,0.0067825,0.0067825,0.0067825
67,17129.2,1.49493,3.31662,1.14484,0.4917,0.38469,0.39671,0.23428,1.41926,3.20548,1.12071,0.006733,0.006733,0.006733
68,17388.3,1.48627,3.28132,1.14351,0.50038,0.3867,0.39671,0.2349,1.41737,3.20218,1.12086,0.0066835,0.0066835,0.0066835
69,17648.8,1.48559,3.27656,1.14149,0.49481,0.38946,0.3989,0.23629,1.41438,3.19861,1.11963,0.006634,0.006634,0.006634
70,17906.3,1.48431,3.25964,1.13649,0.49588,0.38904,0.40009,0.23652,1.41397,3.18629,1.12046,0.0065845,0.0065845,0.0065845
71,18170,1.48278,3.25829,1.1386,0.49929,0.39052,0.40156,0.23849,1.41082,3.17956,1.11801,0.006535,0.006535,0.006535
72,18428.1,1.48551,3.26806,1.14055,0.48981,0.39234,0.40102,0.23721,1.41146,3.17492,1.11811,0.0064855,0.0064855,0.0064855
73,18685.4,1.47833,3.2452,1.13665,0.4984,0.3923,0.39934,0.23578,1.41146,3.17535,1.11761,0.006436,0.006436,0.006436
74,18943.1,1.4787,3.24279,1.13942,0.50761,0.392,0.40442,0.23996,1.40863,3.16597,1.11485,0.0063865,0.0063865,0.0063865
75,19204.6,1.47126,3.21267,1.13332,0.48555,0.39381,0.40435,0.23968,1.40722,3.16102,1.11413,0.006337,0.006337,0.006337
76,19464.5,1.47446,3.2257,1.13554,0.50256,0.39097,0.40619,0.24143,1.40627,3.1595,1.11332,0.0062875,0.0062875,0.0062875
77,19724.5,1.46839,3.20756,1.13262,0.50303,0.39158,0.40765,0.24156,1.40543,3.15152,1.11362,0.006238,0.006238,0.006238
78,19982.1,1.47317,3.20545,1.13423,0.49948,0.39945,0.40891,0.24091,1.40296,3.14069,1.11383,0.0061885,0.0061885,0.0061885
79,20239.4,1.46759,3.19878,1.13258,0.50036,0.40016,0.40761,0.24125,1.40072,3.14052,1.11199,0.006139,0.006139,0.006139
80,20498.5,1.46974,3.21024,1.13203,0.49494,0.401,0.40903,0.24191,1.40008,3.13675,1.11166,0.0060895,0.0060895,0.0060895
81,20757.9,1.46181,3.17351,1.1312,0.50241,0.39995,0.41027,0.24321,1.40076,3.13351,1.11188,0.00604,0.00604,0.00604
82,21019.4,1.46203,3.16091,1.13056,0.50535,0.40066,0.40965,0.24241,1.40011,3.12938,1.11194,0.0059905,0.0059905,0.0059905
83,21278.5,1.45848,3.15689,1.12986,0.51069,0.39989,0.41179,0.24399,1.39933,3.12459,1.11141,0.005941,0.005941,0.005941
84,21539.7,1.45881,3.15555,1.12876,0.50842,0.39684,0.41215,0.2438,1.39725,3.12231,1.11082,0.0058915,0.0058915,0.0058915
85,21800,1.45877,3.15617,1.1277,0.50888,0.39874,0.41272,0.24496,1.39817,3.11791,1.11063,0.005842,0.005842,0.005842
86,22060.5,1.45246,3.14571,1.12915,0.50658,0.40139,0.41443,0.24564,1.39655,3.11492,1.10937,0.0057925,0.0057925,0.0057925
