epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,25428.8,1.33849,2.7748,1.12608,0.58422,0.44501,0.47478,0.28705,1.28595,2.74269,1.10754,0.007921,0.007921,0.007921
44,26042.9,1.3305,2.74678,1.12343,0.58338,0.45001,0.47955,0.28986,1.28409,2.73145,1.10585,0.0078715,0.0078715,0.0078715
45,26611.1,1.3323,2.7534,1.12407,0.57754,0.45601,0.48342,0.29325,1.27779,2.72377,1.10324,0.007822,0.007822,0.007822
46,27181.9,1.33057,2.72702,1.12085,0.57263,0.46217,0.48388,0.29415,1.27832,2.7254,1.10338,0.0077725,0.0077725,0.0077725
47,27760,1.32541,2.70946,1.11872,0.58314,0.45922,0.48551,0.29369,1.27215,2.69884,1.1019,0.007723,0.007723,0.007723
48,28330.1,1.32102,2.69615,1.11931,0.57603,0.4611,0.48728,0.29656,1.2678,2.69966,1.09863,0.0076735,0.0076735,0.0076735
49,28908.9,1.31878,2.68724,1.11284,0.58263,0.45673,0.48622,0.29495,1.26753,2.68416,1.09878,0.007624,0.007624,0.007624
50,29480.8,1.32353,2.69169,1.11657,0.58898,0.46119,0.49264,0.2989,1.26789,2.68883,1.09894,0.0075745,0.0075745,0.0075745
51,30053.3,1.31366,2.64787,1.11094,0.58874,0.46644,0.49361,0.30035,1.2636,2.66971,1.09645,0.007525,0.007525,0.007525
52,30636.3,1.31549,2.6548,1.11252,0.59263,0.4628,0.49264,0.29995,1.26352,2.66951,1.09705,0.0074755,0.0074755,0.0074755
53,31220.4,1.30787,2.63734,1.1117,0.59101,0.46162,0.49247,0.2993,1.26395,2.66683,1.09696,0.007426,0.007426,0.007426
54,31804,1.3084,2.62211,1.10829,0.59223,0.46349,0.49405,0.30033,1.26067,2.6478,1.09498,0.0073765,0.0073765,0.0073765
55,32387.3,1.30266,2.6048,1.10504,0.59262,0.46379,0.49444,0.30213,1.26307,2.65375,1.096,0.007327,0.007327,0.007327
